	Número de registros en esta consulta:	10	Unnamed: 2	Unnamed: 3	Unnamed: 4
300	Bueno (A2)	1	0.1		
301	Regular (A3)	0	0		
302	Malo (A4)	0	0		
303	Sin respuesta	0	0		
304	No mostrada	0	0		
305					
306					
307	Resumen de campo para D1(SQ08)				
308	"Valore los siguientes aspectos relacionados con el desempeño profesional del graduado.
[Capacidad para la toma de decisiones]"				
309	Opción	Cuenta	Porcentaje		
310	Muy Bueno (A1)	8	0.8		
311	Bueno (A2)	2	0.2		
312	Regular (A3)	0	0		
313	Malo (A4)	0	0		
314	Sin respuesta	0	0		
315	No mostrada	0	0		
316					
317					
318	Resumen de campo para D1(SQ09)				
319	"Valore los siguientes aspectos relacionados con el desempeño profesional del graduado.
[Desarrollo de una gestión laboral eficaz y eficiente]"				
320	Opción	Cuenta	Porcentaje		
321	Muy Bueno (A1)	9	0.9		
322	Bueno (A2)	1	0.1		
323	Regular (A3)	0	0		
324	Malo (A4)	0	0		
325	Sin respuesta	0	0		
326	No mostrada	0	0		
327					
328					
329	Resumen de campo para D2 [Capacidad para realizar análisis y diagnósticos.][Etiqueta 1]				
330	"<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">A continuación hay una lista de conocimientos, habilidades y actitudes. Proporcione la siguiente información:</span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.1) Columna A:<span style=""color: rgb(0, 0, 0);"">¿Con qué nivel de conocimientos, habilidades y actitudes ingresó el graduado al empleo?</span></span></span></p>
<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
</span></span>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.2) Columna B:<span style=""color: rgb(0, 0, 0);"">¿Qué nivel de los conocimientos, habilidades y actitudes son necesarios en el trabajo que realiza el graduado en la actualidad?</span></span></span></p>
<p>
	 </p>
<p>
	 </p>
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
[A. Nivel de conocimientos, habiidades y actitudes ingresó el graduado al empleo]"				
331	Opción	Cuenta	Porcentaje		
332	Muy alto10 (A10)	3	0.3		
333	9 (A9)	3	0.3		0.7106690545187015
334	8 (A8)	3	0.3		
335	7 (A7)	1	0.1		
336	6 (A6)	0	0		
337	5 (A5)	0	0		
338	4 (A4)	0	0		
339	3 (A3)	0	0		
340	2 (A2)	0	0		
341	Muy bajo1 (A1)	0	0		
342	Sin respuesta	0	0		
343	No mostrada	0	0		
344					
345					
346	Resumen de campo para D2 [Capacidad para realizar análisis y diagnósticos.][Etiqueta 2]				
347	"<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">A continuación hay una lista de conocimientos, habilidades y actitudes. Proporcione la siguiente información:</span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.1) Columna A:<span style=""color: rgb(0, 0, 0);"">¿Con qué nivel de conocimientos, habilidades y actitudes ingresó el graduado al empleo?</span></span></span></p>
<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
</span></span>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.2) Columna B:<span style=""color: rgb(0, 0, 0);"">¿Qué nivel de los conocimientos, habilidades y actitudes son necesarios en el trabajo que realiza el graduado en la actualidad?</span></span></span></p>
<p>
	 </p>
<p>
	 </p>
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
[B. Nivel de conocimientos, habiidades y actitudes que son necesarias en el trabajo que realiza el graduado en la actualidad]"				
348	Opción	Cuenta	Porcentaje		
349	Muy alto10 (A10)	7	0.7		
350	9 (A9)	2	0.2		
351	8 (A8)	1	0.1		
352	7 (A7)	0	0		
353	6 (A6)	0	0		
354	5 (A5)	0	0		
355	4 (A4)	0	0		
356	3 (A3)	0	0		
357	2 (A2)	0	0		
358	Muy bajo1 (A1)	0	0		
359	Sin respuesta	0	0		
360	No mostrada	0	0		
361					
362					
363	Resumen de campo para D2 [Capacidad para solucionar problemas relacionados con la profesión.][Etiqueta 1]				
364	"<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">A continuación hay una lista de conocimientos, habilidades y actitudes. Proporcione la siguiente información:</span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.1) Columna A:<span style=""color: rgb(0, 0, 0);"">¿Con qué nivel de conocimientos, habilidades y actitudes ingresó el graduado al empleo?</span></span></span></p>
<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
</span></span>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.2) Columna B:<span style=""color: rgb(0, 0, 0);"">¿Qué nivel de los conocimientos, habilidades y actitudes son necesarios en el trabajo que realiza el graduado en la actualidad?</span></span></span></p>
<p>
	 </p>
<p>
	 </p>
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
[A. Nivel de conocimientos, habiidades y actitudes ingresó el graduado al empleo]"				
365	Opción	Cuenta	Porcentaje		
366	Muy alto10 (A10)	3	0.3		0.5393598899705936
367	9 (A9)	2	0.2		
368	8 (A8)	4	0.4		
369	7 (A7)	1	0.1		
370	6 (A6)	0	0		
371	5 (A5)	0	0		
372	4 (A4)	0	0		
373	3 (A3)	0	0		
374	2 (A2)	0	0		
375	Muy bajo1 (A1)	0	0		
376	Sin respuesta	0	0		
377	No mostrada	0	0		
378					
379					
380	Resumen de campo para D2 [Capacidad para solucionar problemas relacionados con la profesión.][Etiqueta 2]				
381	"<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">A continuación hay una lista de conocimientos, habilidades y actitudes. Proporcione la siguiente información:</span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.1) Columna A:<span style=""color: rgb(0, 0, 0);"">¿Con qué nivel de conocimientos, habilidades y actitudes ingresó el graduado al empleo?</span></span></span></p>
<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
</span></span>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.2) Columna B:<span style=""color: rgb(0, 0, 0);"">¿Qué nivel de los conocimientos, habilidades y actitudes son necesarios en el trabajo que realiza el graduado en la actualidad?</span></span></span></p>
<p>
	 </p>
<p>
	 </p>
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
[B. Nivel de conocimientos, habiidades y actitudes que son necesarias en el trabajo que realiza el graduado en la actualidad]"				
382	Opción	Cuenta	Porcentaje		
383	Muy alto10 (A10)	7	0.7		
384	9 (A9)	2	0.2		
385	8 (A8)	0	0		
386	7 (A7)	1	0.1		
387	6 (A6)	0	0		
388	5 (A5)	0	0		
389	4 (A4)	0	0		
390	3 (A3)	0	0		
391	2 (A2)	0	0		
392	Muy bajo1 (A1)	0	0		
393	Sin respuesta	0	0		
394	No mostrada	0	0		
395					
396					
397	Resumen de campo para D2 [Capacidad para utilizar herramientas especializadas propias de la profesión.][Etiqueta 1]				
398	"<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">A continuación hay una lista de conocimientos, habilidades y actitudes. Proporcione la siguiente información:</span></span></p>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.1) Columna A:<span style=""color: rgb(0, 0, 0);"">¿Con qué nivel de conocimientos, habilidades y actitudes ingresó el graduado al empleo?</span></span></span></p>
<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
</span></span>
<p>
	<span style=""font-size:12px;""><span style=""font-family:arial,helvetica,sans-serif;"">(D2.2) Columna B:<span style=""color: rgb(0, 0, 0);"">¿Qué nivel de los conocimientos, habilidades y actitudes son necesarios en el trabajo que realiza el graduado en la actualidad?</span></span></span></p>
<p>
	 </p>
<p>
	 </p>
<style type=""text/css"">
@page { margin: 2cm }
		p { margin-bottom: 0.25cm; direction: ltr; line-height: 120%; text-align: left; orphans: 2; widows: 2 }</style>
[A. Nivel de conocimientos, habiidades y actitudes ingresó el graduado al empleo]"				
399	Opción	Cuenta	Porcentaje		
400	Muy alto10 (A10)	4	0.4		0.8276809077511004
401	9 (A9)	1	0.1		
402	8 (A8)	3	0.3		
